version,date,best3avg_hcs,checksum,il,native,tf
2026.05.30,2026-05-30,35519,0x9174E19D961CB6E5,359,3052,net10.0
2026.05.31,2026-05-31,41675,0x9174E19D961CB6E5,359,3608,net10.0
2026.06.01,2026-05-31,44269,0x9174E19D961CB6E5,359,4304,net10.0
2026.06.03,2026-06-02,45027,0x9174E19D961CB6E5,130,2964,net10.0
2026.06.04,2026-06-03,47196,0x9174E19D961CB6E5,130,3128,net10.0
2026.06.05,2026-06-05,47674,0x9174E19D961CB6E5,130,3104,net10.0
2026.06.07,2026-06-06,54624,0x9174E19D961CB6E5,130,3292,net10.0
2026.06.07b,2026-06-07,60643,0x9174E19D961CB6E5,130,3424,net10.0
2026.06.08,2026-06-08,60488,0x9174E19D961CB6E5,130,3424,net10.0
2026.06.09,2026-06-08,61185,0x9174E19D961CB6E5,130,3340,net10.0
2026.06.09b,2026-06-08,60999,0x9174E19D961CB6E5,130,3340,net11.0
2026.06.09c,2026-06-09,60865,0x9174E19D961CB6E5,130,3340,net11.0
2026.06.09d,2026-06-09,61241,0x9174E19D961CB6E5,130,3340,net11.0
2026.06.09e,2026-06-09,60924,0x9174E19D961CB6E5,130,3340,net11.0
2026.06.11,2026-06-10,63514,0x9174E19D961CB6E5,130,3372,net11.0
2026.06.12,2026-06-11,63375,0x9174E19D961CB6E5,130,3372,net11.0
2026.06.18,2026-06-18,72722,0x9174E19D961CB6E5,130,4736,net11.0
2026.06.19,2026-06-18,76312,0x9174E19D961CB6E5,136,4636,net11.0
