version,date,best3avg_hcs,checksum,il,native,tf,temp_c
2026.05.30,2026-05-30,46884,0x9174E19D961CB6E5,359,3052,net10.0,36.7
2026.05.31,2026-05-31,55254,0x9174E19D961CB6E5,359,3608,net10.0,37.8
2026.06.01,2026-05-31,58816,0x9174E19D961CB6E5,359,4304,net10.0,38.4
2026.06.03,2026-06-02,59740,0x9174E19D961CB6E5,130,2964,net10.0,39.5
2026.06.04,2026-06-03,62841,0x9174E19D961CB6E5,130,3128,net10.0,39.5
2026.06.05,2026-06-05,63892,0x9174E19D961CB6E5,130,3104,net10.0,37.8
2026.06.07,2026-06-06,72529,0x9174E19D961CB6E5,130,3292,net10.0,38.9
2026.06.07b,2026-06-07,79363,0x9174E19D961CB6E5,130,3424,net10.0,37.8
2026.06.08,2026-06-08,79405,0x9174E19D961CB6E5,130,3424,net10.0,37.3
2026.06.09,2026-06-08,79683,0x9174E19D961CB6E5,130,3340,net10.0,38.9
2026.06.09b,2026-06-08,80173,0x9174E19D961CB6E5,130,3340,net11.0,36.7
2026.06.09c,2026-06-09,80138,0x9174E19D961CB6E5,130,3340,net11.0,37.8
2026.06.09d,2026-06-09,79870,0x9174E19D961CB6E5,130,3340,net11.0,38.4
2026.06.09e,2026-06-09,80323,0x9174E19D961CB6E5,130,3340,net11.0,38.4
2026.06.11,2026-06-10,84559,0x9174E19D961CB6E5,130,3372,net11.0,37.8
2026.06.12,2026-06-11,84400,0x9174E19D961CB6E5,130,3372,net11.0,38.4
2026.06.18,2026-06-18,96766,0x9174E19D961CB6E5,130,4736,net11.0,38.4
2026.06.19,2026-06-18,101410,0x9174E19D961CB6E5,136,4636,net11.0,38.9
