"Version","Date","HcS","CycPerHc","Change","CycVsFirst"
"2026.05.30","2026-05-30","62962","51994","baseline (pre R-1; SoA + fast-path family)","0%"
"2026.05.31","2026-05-31","77775","43599","R-1 dynamic-singleton fast-path","-16.1%"
"2026.06.01","2026-05-31","83687","40880","S2-A inline node adjacency","-21.4%"
"2026.06.03","2026-06-02","84524","40638","GitHub Pages cut / minor","-21.8%"
"2026.06.04","2026-06-03","87082","38046","hot-path micro-opts","-26.8%"
"2026.06.05","2026-06-05","89483","38161","hot-path micro-opts","-26.6%"
"2026.06.07","2026-06-06","101609","34281","P-2/P-3/P-4 event-count prunes","-34.1%"
"2026.06.07b","2026-06-07","108357","30939","P-2/3/4 finalized + mask consolidation","-40.5%"
"2026.06.08","2026-06-08","108307","30934","settle/cond tooling (≈flat)","-40.5%"
"2026.06.09","2026-06-08","109613","30145","&&-clause reorder + supply-skip fold","-42%"
"2026.06.09b","2026-06-08","113531","29934","supply-skip fold landed","-42.4%"
"2026.06.09c","2026-06-09","113567","30003","BFS/DFS + diag","-42.3%"
"2026.06.09d","2026-06-09","113556","29953","minor","-42.4%"
"2026.06.09e","2026-06-09","111919","30076","minor","-42.2%"
"2026.06.11","2026-06-10","118634","28676","range-prune + self-captured locality (RCM revival)","-44.8%"
"2026.06.12","2026-06-11","132597","27521","B1 two-node pair path","-47.1%"
"2026.06.18","2026-06-18","134694","26750",".NET 11 + falling-writeback split","-48.6%"
"2026.06.19","2026-06-18","129123","25915","disasm-driven codegen micro-sweep","-50.2%"
