"Version","Date","LockedHcS","LockedCycPerHc"
"2026.05.30","2026-05-30","56545","60718"
"2026.05.31","2026-05-31","67544","49949"
"2026.06.01","2026-05-31","70776","47690"
"2026.06.03","2026-06-02","73282","45589"
"2026.06.04","2026-06-03","77041","43773"
"2026.06.05","2026-06-05","78045","43055"
"2026.06.07","2026-06-06","86161","40363"
"2026.06.07b","2026-06-07","93440","34777"
"2026.06.08","2026-06-08","93348","34808"
"2026.06.09","2026-06-08","97127","36382"
"2026.06.09b","2026-06-08","96936","35166"
"2026.06.09c","2026-06-09","95931","33661"
"2026.06.09d","2026-06-09","95691","35951"
"2026.06.09e","2026-06-09","96005","33990"
"2026.06.11","2026-06-10","105912","32338"
"2026.06.12","2026-06-11","107401","30999"
"2026.06.18","2026-06-18","115559","30981"
"2026.06.19","2026-06-18","113895","32269"
