offset,addr,first_frame
03,403,19
04,404,1487
05,405,16
06,406,42
07,407,49
08,408,52
09,409,85
0A,40A,87
0B,40B,90
0C,40C,92
0D,40D,94
0E,40E,96
0F,40F,99
10,410,226
11,411,228
12,412,230
13,413,232
14,414,234
15,415,236
16,416,238
17,417,240
19,419,103
1A,41A,105
1B,41B,107
1C,41C,110
1D,41D,112
1E,41E,114
1F,41F,116
20,420,119
22,422,123
23,423,125
24,424,128
25,425,130
26,426,132
27,427,135
28,428,137
29,429,139
2A,42A,141
2B,42B,143
2C,42C,146
2D,42D,149
2E,42E,154
2F,42F,156
30,430,158
31,431,160
32,432,162
33,433,164
34,434,167
35,435,169
36,436,171
37,437,173
38,438,176
39,439,178
3A,43A,180
3B,43B,182
3C,43C,185
3D,43D,187
3E,43E,189
3F,43F,193
40,440,195
41,441,197
42,442,199
43,443,201
44,444,203
45,445,205
46,446,209
47,447,212
48,448,214
49,449,217
4A,44A,219
4B,44B,221
4C,44C,1323
4D,44D,21
4E,44E,1611
4F,44F,1327
50,450,1912
51,451,2117
52,452,2134
53,453,2361
54,454,2693
55,455,3033
56,456,3193
57,457,3267
58,458,3521
59,459,3201
5A,45A,3690
5B,45B,3827
5C,45C,1475
5D,45D,1331
5E,45E,1333
5F,45F,1479
60,460,4762
61,461,246
62,462,964
63,463,1311
65,465,1375
66,466,1392
67,467,1433
68,468,1441
69,469,1450
6A,46A,1466
6B,46B,1337
6C,46C,1314
6D,46D,4801
6E,46E,71
6F,46F,73
70,470,75
71,471,78
72,472,80
73,473,82
74,474,23
75,475,29
76,476,1618
77,477,1343
78,478,1357
79,479,1347
7A,47A,1481
7B,47B,3905
7C,47C,4809
7D,47D,68
7E,47E,1634
7F,47F,121
80,480,3925
81,481,1738
82,482,3943
83,483,4012
84,484,4173
85,485,1485
86,486,1723
87,487,4161
88,488,1319
89,489,3427
8A,48A,1730
8B,48B,4807
8C,48C,4240
8D,48D,3319
8E,48E,4601
8F,48F,4133
90,490,4812
91,491,4633
92,492,4694
